Run,Step,Agent,Reward
2,19,Kang,1.18
2,19,Lim,0.56
2,19,Ko,0.76
2,20,Lee,0.4
2,20,Shin,0.4
2,20,Kang,0.86
2,20,Lim,0.7
2,20,Ko,0.78
2,21,Lee,0.58
2,21,Shin,0.44
2,21,Kang,1.0
2,21,Lim,0.56
2,21,Ko,0.74
2,22,Lee,0.78
2,22,Shin,0.42
2,22,Kang,1.08
2,22,Lim,0.5
2,22,Ko,0.86
2,23,Lee,0.66
2,23,Shin,0.58
2,23,Kang,0.84
2,23,Lim,0.6
2,23,Ko,0.76
2,24,Lee,0.66
2,24,Shin,0.44
2,24,Kang,0.96
2,24,Lim,0.68
2,24,Ko,0.8
2,25,Lee,0.7
2,25,Shin,0.54
2,25,Kang,1.04
2,25,Lim,0.62
2,25,Ko,0.7
2,26,Lee,0.34
2,26,Shin,0.62
2,26,Kang,0.96
2,26,Lim,0.74
2,26,Ko,0.52
2,27,Lee,0.56
2,27,Shin,0.3
2,27,Kang,0.92
2,27,Lim,0.96
2,27,Ko,0.66
2,28,Lee,0.44
2,28,Shin,0.52
2,28,Kang,1.12
2,28,Lim,0.54
2,28,Ko,0.64
2,29,Lee,0.62
2,29,Shin,0.42
2,29,Kang,1.02
2,29,Lim,0.6
2,29,Ko,0.72
2,30,Lee,0.54
2,30,Shin,0.4
2,30,Kang,1.04
2,30,Lim,0.62
2,30,Ko,0.8
2,31,Lee,0.7
2,31,Shin,0.4
2,31,Kang,1.0
2,31,Lim,0.66
2,31,Ko,0.76
2,32,Lee,0.6
2,32,Shin,0.58
2,32,Kang,0.96
2,32,Lim,0.4
2,32,Ko,0.64
2,33,Lee,0.46
2,33,Shin,0.34
2,33,Kang,1.04
2,33,Lim,0.64
2,33,Ko,0.74
2,34,Lee,0.62
2,34,Shin,0.34
2,34,Kang,1.08
2,34,Lim,0.68
2,34,Ko,0.82
2,35,Lee,0.68
2,35,Shin,0.44
2,35,Kang,1.06
2,35,Lim,0.56
2,35,Ko,0.76
2,36,Lee,0.56
2,36,Shin,0.48
2,36,Kang,1.02
2,36,Lim,0.64
2,36,Ko,0.7
2,37,Lee,0.32
2,37,Shin,0.48
2,37,Kang,0.92
2,37,Lim,0.84
2,37,Ko,0.58
2,38,Lee,0.66
