Run,Step,Agent,Probability of Winning
2,15,Lee,0.32599999999999985
2,15,Shin,0.6153333333333335
2,15,Kang,0.30733333333333346
2,15,Lim,0.14400000000000004
2,15,Ko,0.04133333333333334
2,16,Lee,0.3680000000000001
2,16,Shin,0.5833333333333334
2,16,Kang,0.222
2,16,Lim,0.12933333333333336
2,16,Ko,0.06666666666666664
2,17,Lee,0.41200000000000003
2,17,Shin,0.6473333333333335
2,17,Kang,0.23333333333333325
2,17,Lim,0.12266666666666672
2,17,Ko,0.06666666666666664
2,18,Lee,0.3973333333333334
2,18,Shin,0.6613333333333332
2,18,Kang,0.2340000000000001
2,18,Lim,0.11800000000000006
2,18,Ko,0.07666666666666665
2,19,Lee,0.42599999999999993
2,19,Shin,0.6586666666666667
2,19,Kang,0.24733333333333327
2,19,Lim,0.10266666666666666
2,19,Ko,0.04133333333333334
2,20,Lee,0.37400000000000005
2,20,Shin,0.7040000000000002
2,20,Kang,0.2606666666666666
2,20,Lim,0.11733333333333335
2,20,Ko,0.05666666666666665
2,21,Lee,0.39466666666666667
2,21,Shin,0.6933333333333335
2,21,Kang,0.27466666666666667
2,21,Lim,0.11600000000000002
2,21,Ko,0.04666666666666666
2,22,Lee,0.4733333333333334
2,22,Shin,0.706
2,22,Kang,0.2113333333333333
2,22,Lim,0.12933333333333338
2,22,Ko,0.05333333333333332
2,23,Lee,0.45533333333333326
2,23,Shin,0.672
2,23,Kang,0.23133333333333334
2,23,Lim,0.07666666666666665
2,23,Ko,0.06333333333333332
2,24,Lee,0.458
2,24,Shin,0.6559999999999999
2,24,Kang,0.25066666666666665
2,24,Lim,0.08799999999999997
2,24,Ko,0.04666666666666666
2,25,Lee,0.5660000000000002
2,25,Shin,0.6759999999999999
2,25,Kang,0.18066666666666667
2,25,Lim,0.12800000000000003
2,25,Ko,0.04666666666666666
2,26,Lee,0.37533333333333346
2,26,Shin,0.7593333333333332
2,26,Kang,0.21799999999999994
2,26,Lim,0.12333333333333338
2,26,Ko,0.0733333333333333
2,27,Lee,0.4980000000000001
2,27,Shin,0.6920000000000001
2,27,Kang,0.22066666666666673
2,27,Lim,0.10266666666666667
2,27,Ko,0.03333333333333333
2,28,Lee,0.5046666666666666
2,28,Shin,0.6613333333333336
2,28,Kang,0.24200000000000002
2,28,Lim,0.07999999999999999
2,28,Ko,0.04333333333333333
2,29,Lee,0.44400000000000006
2,29,Shin,0.714
2,29,Kang,0.24333333333333332
2,29,Lim,0.1
2,29,Ko,0.03666666666666667
2,30,Lee,0.5073333333333333
2,30,Shin,0.7026666666666667
2,30,Kang,0.2166666666666667
2,30,Lim,0.12933333333333338
2,30,Ko,0.03666666666666667
2,31,Lee,0.514
2,31,Shin,0.6946666666666667
2,31,Kang,0.25666666666666665
2,31,Lim,0.09466666666666666
2,31,Ko,0.026666666666666665
2,32,Lee,0.5033333333333332
2,32,Shin,0.7080000000000001
2,32,Kang,0.23199999999999996
2,32,Lim,0.10800000000000001
2,32,Ko,0.03
2,33,Lee,0.484
